/root/autodl-tmp/envs/adgs/lib/python3.9/site-packages/torch/cuda/__init__.py:51: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
scene_0255 044_4: 0 dynamic boxes, 117 SAM regions
scene_0255 044_5: 0 dynamic boxes, 81 SAM regions
scene_0255 045_0: 0 dynamic boxes, 108 SAM regions
scene_0255 045_1: 0 dynamic boxes, 87 SAM regions
scene_0255 045_2: 0 dynamic boxes, 89 SAM regions
scene_0255 045_3: 0 dynamic boxes, 91 SAM regions
scene_0255 045_4: 0 dynamic boxes, 117 SAM regions
scene_0255 045_5: 0 dynamic boxes, 88 SAM regions
scene_0255 046_0: 0 dynamic boxes, 107 SAM regions
scene_0255 046_1: 0 dynamic boxes, 89 SAM regions
scene_0255 046_2: 0 dynamic boxes, 79 SAM regions
scene_0255 046_3: 0 dynamic boxes, 79 SAM regions
scene_0255 046_4: 0 dynamic boxes, 110 SAM regions
scene_0255 046_5: 0 dynamic boxes, 82 SAM regions
scene_0255 047_0: 0 dynamic boxes, 107 SAM regions
scene_0255 047_1: 0 dynamic boxes, 94 SAM regions
scene_0255 047_2: 0 dynamic boxes, 94 SAM regions
scene_0255 047_3: 0 dynamic boxes, 87 SAM regions
scene_0255 047_4: 0 dynamic boxes, 112 SAM regions
scene_0255 047_5: 0 dynamic boxes, 84 SAM regions
scene_0255 048_0: 0 dynamic boxes, 107 SAM regions
scene_0255 048_1: 0 dynamic boxes, 93 SAM regions
scene_0255 048_2: 0 dynamic boxes, 91 SAM regions
scene_0255 048_3: 0 dynamic boxes, 88 SAM regions
scene_0255 048_4: 0 dynamic boxes, 126 SAM regions
scene_0255 048_5: 0 dynamic boxes, 89 SAM regions
scene_0255 049_0: 0 dynamic boxes, 105 SAM regions
scene_0255 049_1: 0 dynamic boxes, 93 SAM regions
scene_0255 049_2: 0 dynamic boxes, 90 SAM regions
scene_0255 049_3: 0 dynamic boxes, 86 SAM regions
scene_0255 049_4: 0 dynamic boxes, 115 SAM regions
scene_0255 049_5: 0 dynamic boxes, 83 SAM regions
scene_0255 050_0: 0 dynamic boxes, 98 SAM regions
scene_0255 050_1: 0 dynamic boxes, 93 SAM regions
